1,Saquon Barkley ,RB ,NYG ,11
2,Christian McCaffrey ,RB ,CAR ,7
3,Ezekiel Elliott ,RB ,DAL ,8
4,Alvin Kamara ,RB ,NO ,9
5,DeAndre Hopkins ,WR ,HOU ,10
6,David Johnson ,RB ,ARI ,12
7,Nick Chubb ,RB ,CLE ,7
8,Le'Veon Bell ,RB ,NYJ ,4
9,Davante Adams ,WR ,GB ,11
10,James Conner ,RB ,PIT ,7
11,Julio Jones ,WR ,ATL ,9
12,Todd Gurley ,RB ,LAR ,9
13,Michael Thomas ,WR ,NO ,9
14,Tyreek Hill ,WR ,KC ,12
15,Joe Mixon ,RB ,CIN ,9
16,Dalvin Cook ,RB ,MIN ,12
17,Odell Beckham Jr. ,WR ,CLE ,7
18,JuJu Smith-Schuster ,WR ,PIT ,7
19,Travis Kelce ,TE ,KC ,12
20,Patrick Mahomes ,QB ,KC ,12
21,Leonard Fournette ,RB ,JAX ,10
22,Mike Evans ,WR ,TB ,7
23,Damien Williams ,RB ,KC ,12
24,Antonio Brown ,WR ,OAK ,6
25,Adam Thielen ,WR ,MIN ,12
26,Kerryon Johnson ,RB ,DET ,5
27,Devonta Freeman ,RB ,ATL ,9
28,Aaron Jones ,RB ,GB ,11
29,Chris Carson ,RB ,SEA ,11
30,Keenan Allen ,WR ,LAC ,12
31,Josh Jacobs ,RB ,OAK ,6
32,David Montgomery ,RB ,CHI ,6
33,George Kittle ,TE ,SF ,4
34,Melvin Gordon ,RB ,LAC ,12
35,Derrick Henry ,RB ,TEN ,11
36,Amari Cooper ,WR ,DAL ,8
37,Stefon Diggs ,WR ,MIN ,12
38,Mark Ingram ,RB ,BAL ,8
39,Sony Michel ,RB ,NE ,10
40,Zach Ertz ,TE ,PHI ,10
41,Brandin Cooks ,WR ,LAR ,9
42,Robert Woods ,WR ,LAR ,9
43,Julian Edelman ,WR ,NE ,10
44,Chris Godwin ,WR ,TB ,7
45,Phillip Lindsay ,RB ,DEN ,10
46,Tyler Lockett ,WR ,SEA ,11
47,Marlon Mack ,RB ,IND ,6
48,Tevin Coleman ,RB ,SF ,4
49,Deshaun Watson ,QB ,HOU ,10
50,Kenny Golladay ,WR ,DET ,5
51,Miles Sanders ,RB ,PHI ,10
52,Cooper Kupp ,WR ,LAR ,9
53,A.J. Green ,WR ,CIN ,9
54,T.Y. Hilton ,WR ,IND ,6
55,Mike Williams ,WR ,LAC ,12
56,Calvin Ridley ,WR ,ATL ,9
57,Aaron Rodgers ,QB ,GB ,11
58,O.J. Howard ,TE ,TB ,7
59,Lamar Miller ,RB ,HOU ,10
60,Tyler Boyd ,WR ,CIN ,9
61,Evan Engram ,TE ,NYG ,11
62,Austin Ekeler ,RB ,LAC ,12
63,James White ,RB ,NE ,10
64,Latavius Murray ,RB ,NO ,9
65,D.J. Moore ,WR ,CAR ,7
66,Baker Mayfield ,QB ,CLE ,7
67,Hunter Henry ,TE ,LAC ,12
68,Derrius Guice ,RB ,WAS ,10
69,Robby Anderson ,WR ,NYJ ,4
70,Alshon Jeffery ,WR ,PHI ,10
71,Jarvis Landry ,WR ,CLE ,7
72,Josh Gordon ,WR ,NE ,10
73,Matt Ryan ,QB ,ATL ,9
74,Will Fuller ,WR ,HOU ,10
75,Carson Wentz ,QB ,PHI ,10
76,Allen Robinson ,WR ,CHI ,6
77,Jared Cook ,TE ,NO ,9
78,Kenyan Drake ,RB ,MIA ,5
79,Tarik Cohen ,RB ,CHI ,6
80,Curtis Samuel ,WR ,CAR ,7
81,Drew Brees ,QB ,NO ,9
82,Rashaad Penny ,RB ,SEA ,11
83,Vance McDonald ,TE ,PIT ,7
84,Christian Kirk ,WR ,ARI ,12
85,Darrell Henderson ,RB ,LAR ,9
86,Eric Ebron ,TE ,IND ,6
87,Jordan Howard ,RB ,PHI ,10
88,Kalen Ballage ,RB ,MIA ,5
89,Dede Westbrook ,WR ,JAX ,10
90,Chicago ,DST ,CHI ,6
91,Marvin Jones ,WR ,DET ,5
92,Royce Freeman ,RB ,DEN ,10
93,Russell Wilson ,QB ,SEA ,11
94,Sammy Watkins ,WR ,KC ,12
95,Kareem Hunt ,RB ,CLE ,7
96,Dante Pettis ,WR ,SF ,4
97,Cam Newton ,QB ,CAR ,7
98,Jared Goff ,QB ,LAR ,9
99,Sterling Shepard ,WR ,NYG ,11
100,Marquez Valdes-Scantling ,WR ,GB ,11
101,LeSean McCoy ,RB ,BUF ,6
102,Adrian Peterson ,RB ,WAS ,10
103,Emmanuel Sanders ,WR ,DEN ,10
104,David Njoku ,TE ,CLE ,7
105,Matt Breida ,RB ,SF ,4
106,Kyler Murray ,QB ,ARI ,12
107,Geronimo Allison ,WR ,GB ,11
108,Darwin Thompson ,RB ,KC ,12
109,Peyton Barber ,RB ,TB ,7
110,Philip Rivers ,QB ,LAC ,12
111,Corey Davis ,WR ,TEN ,11
112,Larry Fitzgerald ,WR ,ARI ,12
113,James Washington ,WR ,PIT ,7
114,Lamar Jackson ,QB ,BAL ,8
115,Jameis Winston ,QB ,TB ,7
116,DeSean Jackson ,WR ,PHI ,10
117,Duke Johnson ,RB ,HOU ,10
