,,,,,,,,,,
rank,WSID,OVERALL (team),POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
1,,Saquon Barkley NYG ,RB1 ,11,1,9,1.6,1,1,0
2,,Alvin Kamara NO ,RB2 ,9,1,11,2.6,1.1,2,0
3,,Christian McCaffrey CAR ,RB3 ,7,1,13,2.7,1,3,0
4,,Ezekiel Elliott DAL ,RB4 ,8,1,42,6.1,5.7,4,0
5,,David Johnson ARI ,RB5 ,12,1,27,7.1,4.7,6,1
6,,Nick Chubb CLE ,RB6 ,7,1,36,8.4,5,10,4
7,,DeAndre Hopkins HOU ,WR1 ,10,4,21,8.5,2.3,5,-2
8,,James Conner PIT ,RB7 ,7,2,55,9.8,5,9,1
9,,Davante Adams GB ,WR2 ,11,5,24,10.5,2.9,8,-1
10,,Julio Jones ATL ,WR3 ,9,6,29,12,3.2,13,3
11,,Le'Veon Bell NYJ ,RB8 ,4,2,40,12.4,6.9,7,-4
12,,Odell Beckham Jr. CLE ,WR4 ,7,5,21,13.1,3.4,17,5
13,,Joe Mixon CIN ,RB9 ,9,5,29,13.8,5.6,14,1
14,,Travis Kelce KC ,TE1 ,12,7,37,15.1,2.8,18,4
15,,Tyreek Hill KC ,WR5 ,12,7,29,15.4,4.9,16,1
16,,Dalvin Cook MIN ,RB10 ,12,4,40,15.6,5.8,20,4
17,,Todd Gurley LAR ,RB11 ,9,3,57,16.6,9.4,11,-6
18,,JuJu Smith-Schuster PIT ,WR6 ,7,6,33,16.9,4.4,19,1
19,,Michael Thomas NO ,WR7 ,9,8,37,18.1,4.3,12,-7
20,,Mike Evans TB ,WR8 ,7,10,34,20.4,3.7,21,1
21,,Keenan Allen LAC ,WR9 ,12,17,44,26.4,4.7,27,6
22,,Antonio Brown OAK ,WR10 ,6,16,50,27.2,6.3,23,1
23,,Aaron Jones GB ,RB12 ,11,6,67,27.6,9.3,28,5
24,,Kerryon Johnson DET ,RB13 ,5,6,55,28.9,8.6,25,1
25,,Damien Williams KC ,RB14 ,12,6,106,30.3,11.9,26,1
26,,Marlon Mack IND ,RB15 ,6,12,69,31,9.7,32,6
27,,Adam Thielen MIN ,WR11 ,12,19,72,31.5,6.1,24,-3
28,,Leonard Fournette JAC ,RB16 ,10,12,63,31.5,9.1,22,-6
29,,Derrick Henry TEN ,RB17 ,11,6,64,31.7,10.3,39,10
30,,Chris Carson SEA ,RB18 ,11,12,59,32.3,10.3,37,7
31,,Devonta Freeman ATL ,RB19 ,9,7,64,32.7,8.7,31,0
32,,Amari Cooper DAL ,WR12 ,8,22,59,32.7,6.8,35,3
33,,George Kittle SF ,TE2 ,4,16,101,32.9,7.8,29,-4
34,,Brandin Cooks LAR ,WR13 ,9,20,74,33.8,6.6,40,6
35,,T.Y. Hilton IND ,WR14 ,6,14,82,34.3,14.5,30,-5
36,,Stefon Diggs MIN ,WR15 ,12,22,54,35.2,6.4,38,2
37,,Patrick Mahomes KC ,QB1 ,12,7,65,35.6,9.6,15,-22
38,,Zach Ertz PHI ,TE3 ,10,19,56,35.7,8.7,33,-5
39,,Melvin Gordon LAC ,RB20 ,12,5,114,38,17.7,36,-3
40,,Robert Woods LAR ,WR16 ,9,21,73,38.4,7.7,41,1
41,,Sony Michel NE ,RB21 ,10,17,70,38.6,9.2,48,7
42,,Josh Jacobs OAK ,RB22 ,6,14,139,40.2,9,34,-8
43,,Julian Edelman NE ,WR17 ,10,25,85,42.8,9,43,0
44,,Chris Godwin TB ,WR18 ,7,21,74,43.7,9.1,47,3
45,,Mark Ingram BAL ,RB23 ,8,16,90,44.1,11.2,45,0
46,,David Montgomery CHI ,RB24 ,6,9,201,46,14.9,42,-4
47,,Tyler Lockett SEA ,WR19 ,11,26,111,46.1,11.2,51,4
48,,Kenny Golladay DET ,WR20 ,5,28,105,46.8,9.5,46,-2
49,,Deshaun Watson HOU ,QB2 ,10,22,90,51.9,9.6,44,-5
50,,O.J. Howard TB ,TE4 ,7,23,92,52.5,8.7,57,7
51,,Cooper Kupp LAR ,WR21 ,9,30,100,53.7,10.9,49,-2
52,,Phillip Lindsay DEN ,RB25 ,10,30,93,54.3,9.6,52,0
53,,Tevin Coleman SF ,RB26 ,4,32,94,55.5,10.5,55,2
54,,Mike Williams LAC ,WR22 ,12,30,93,59.2,11.7,60,6
55,,Aaron Rodgers GB ,QB3 ,11,32,92,59.7,9.8,50,-5
56,,Tyler Boyd CIN ,WR23 ,9,33,105,61.4,13.5,56,0
57,,D.J. Moore CAR ,WR24 ,7,34,130,61.5,12.6,63,6
58,,Calvin Ridley ATL ,WR25 ,9,31,97,62.1,11.3,54,-4
