1,,Christian McCaffrey (CAR)    ,RB1,1,3,1.1,0.3
2,,Dalvin Cook (MIN)    ,RB2,1,7,2.6,0.8
3,,Alvin Kamara (NO)     ,RB3,2,10,3.1,1.4
4,,Davante Adams (GB)     ,WR1,5,12,6.1,2
5,,Ezekiel Elliott (DAL)      ,RB4,2,22,7,3.8
6,,Derrick Henry (TEN)    ,RB5,2,27,7.9,6.1
7,,Austin Ekeler (LAC)      ,RB6,3,28,8,3.9
8,,Aaron Jones (GB)      ,RB7,3,23,8.5,4.2
9,,Tyreek Hill (KC)     ,WR2,8,25,10.3,2.5
10,,Stefon Diggs (BUF)    ,WR3,5,17,10.9,2.2
11,,Saquon Barkley (NYG)      ,RB8,2,34,12.1,6.6
12,,DeAndre Hopkins (ARI)     ,WR4,5,24,12.6,2.5
13,,Calvin Ridley (ATL)      ,WR5,5,25,13.3,2.9
14,,Travis Kelce (KC)     ,TE1,6,18,16.3,2.3
15,,Jonathan Taylor (IND)      ,RB9,4,40,17.6,8.1
16,,Justin Jefferson (MIN)      ,WR6,11,33,18.9,4.9
17,,Nick Chubb (CLE)      ,RB10,4,44,19.4,7.9
18,,Antonio Gibson (WAS)      ,RB11,3,42,19.5,6.4
19,,D.K. Metcalf (SEA)    ,WR7,12,36,20.1,5.6
20,,Darren Waller (LV)      ,TE2,16,30,20.1,3.5
21,,A.J. Brown (TEN)      ,WR8,5,39,21.5,6.3
22,,Keenan Allen (LAC)      ,WR9,11,46,21.8,5.9
23,,Joe Mixon (CIN)      ,RB12,8,57,23.8,8.3
24,,Allen Robinson (CHI)     ,WR10,13,36,24.7,4.7
25,,Najee Harris (PIT)      ,RB13,4,65,22.6,7.8
26,,Patrick Mahomes (KC)    ,QB1,19,56,26.8,11.6
27,,George Kittle (SF)      ,TE3,18,53,27.4,8.2
28,,Terry McLaurin (WAS)     ,WR11,16,41,27.8,4.3
29,,Clyde Edwards-Helaire (KC)      ,RB14,8,57,28.2,8.5
30,,CeeDee Lamb (DAL)      ,WR12,12,65,31.2,7.3
31,,D'Andre Swift (DET)      ,RB15,8,89,33.8,11.6
32,,Robert Woods (LAR)      ,WR13,20,50,34,5.6
33,,Amari Cooper (DAL)    ,WR14,24,50,35.1,5
34,,Chris Carson (SEA)      ,RB16,21,59,37,7
35,,Chris Godwin (TB)      ,WR15,24,64,37,6.3
36,,David Montgomery (CHI)      ,RB17,20,71,37.7,9.1
37,,Mike Evans (TB)      ,WR16,24,67,39.5,6.8
