    Christian McCaffrey, RB1, CAR , Age: 25 , FA: 2026
    Dalvin Cook, RB2, MIN , Age: 26 , FA: 2026
    Alvin Kamara, RB3, NO , Age: 26 , FA: 2026
    Ezekiel Elliott, RB4, DAL , Age: 26 , FA: 2027
    Derrick Henry, RB5, TEN , Age: 27 , FA: 2024
    Nick Chubb, RB6, CLE , Age: 25 , FA: 2022
    Austin Ekeler, RB7, LAC , Age: 26 , FA: 2024
    Davante Adams, WR1, GB , Age: 28 , FA: 2022
    Aaron Jones, RB8, GB , Age: 26 , FA: 2024
    Tyreek Hill, WR2, KC , Age: 27 , FA: 2023
    Jonathan Taylor, RB9, IND , Age: 22 , FA: 2024
    Saquon Barkley, RB10, NYG , Age: 24 , FA: 2023
    Travis Kelce, TE1, KC , Age: 31 , FA: 2026
    Stefon Diggs, WR3, BUF , Age: 27 , FA: 2024
    DeAndre Hopkins, WR4, ARI , Age: 29 , FA: 2025
    Antonio Gibson, RB11, WAS , Age: 23 , FA: 2024
    Calvin Ridley, WR5, ATL , Age: 26 , FA: 2023
    Najee Harris, RB12, PIT , Age: 23 , FA: 2026
    Joe Mixon, RB13, CIN , Age: 25 , FA: 2025
    D.K. Metcalf, WR6, SEA , Age: 23 , FA: 2023
    Justin Jefferson, WR7, MIN , Age: 22 , FA: 2025
    James Robinson, RB14, JAC , Age: 23 , FA: 2023
    Clyde Edwards-Helaire, RB15, KC , Age: 22 , FA: 2025
    Darren Waller, TE2, LV , Age: 29 , FA: 2024
    Keenan Allen, WR8, LAC , Age: 29 , FA: 2025
    A.J. Brown, WR9, TEN , Age: 24 , FA: 2023
    Allen Robinson, WR10, CHI , Age: 28 , FA: 2022
    Terry McLaurin, WR11, WAS , Age: 25 , FA: 2023
    CeeDee Lamb, WR12, DAL , Age: 22 , FA: 2025
    George Kittle, TE3, SF , Age: 27 , FA: 2026
    Chris Carson, RB16, SEA , Age: 26 , FA: 2023
    David Montgomery, RB17, CHI , Age: 24 , FA: 2023
    Robert Woods, WR13, LAR , Age: 29 , FA: 2026
    D'Andre Swift, RB18, DET , Age: 22 , FA: 2024
    Amari Cooper, WR14, DAL , Age: 27 , FA: 2025
    Patrick Mahomes, QB1, KC , Age: 25 , FA: 2032
    Tyler Lockett, WR15, SEA , Age: 28 , FA: 2022
    Diontae Johnson, WR16, PIT , Age: 25 , FA: 2023
    Chris Godwin, WR17, TB , Age: 25 , FA: 2022
    Mike Evans, WR18, TB , Age: 28 , FA: 2024
    Josh Jacobs, RB19, LV , Age: 23 , FA: 2024
    D.J. Moore, WR19, CAR , Age: 24 , FA: 2023
    Miles Sanders, RB20, PHI , Age: 24 , FA: 2023
    Gus Edwards, RB21, BAL , Age: 26 , FA: 2022
    Julio Jones, WR20 TEN , Age: 32 , FA: 2024,
    Cooper Kupp, WR21, LAR , Age: 28 , FA: 2024
    Brandon Aiyuk, WR22, SF , Age: 23 , FA: 2025
    Adam Thielen, WR23, MIN , Age: 31 , FA: 2025
    Mike Davis, RB22, ATL , Age: 28 , FA: 2023
    Myles Gaskin, RB23, MIA , Age: 24 , FA: 2023
    Kareem Hunt, RB24, CLE , Age: 26 , FA: 2023
    Mark Andrews, TE4, BAL , Age: 26 , FA: 2022
    Josh Allen, QB2, BUF , Age: 25 , FA: 2023
    Kyle Pitts, TE5, ATL , Age: 20 , FA: 2026
    Javonte Williams, RB25, DEN , Age: 21 , FA: 2025
    Darrell Henderson, RB26, LAR , Age: 24 , FA: 2023
    T.J. Hockenson, TE6, DET , Age: 24 , FA: 2024
    Kyler Murray, QB3, ARI , Age: 24 , FA: 2024
    Damien Harris, RB27, NE , Age: 24 , FA: 2023
    Chase Edmonds, RB28, ARI , Age: 25 , FA: 2022
    Tee Higgins, WR24, CIN , Age: 22 , FA: 2024
    Lamar Jackson, QB4, BAL , Age: 24 , FA: 2023
    Chase Claypool, WR25, PIT , Age: 23 , FA: 2024
    Dak Prescott, QB5, DAL , Age: 28 , FA: 2025
    Robby Anderson, WR26, CAR , Age: 28 , FA: 2022
    Tyler Boyd, WR27, CIN , Age: 26 , FA: 2024
    JuJu Smith-Schuster, WR28, PIT , Age: 24 , FA: 2022
    Jerry Jeudy, WR29, DEN , Age: 22 , FA: 2025
    Raheem Mostert, RB29, SF , Age: 29 , FA: 2022
    Ja'Marr Chase, WR30, CIN , Age: 21 , FA: 2026
    Michael Carter, RB30, NYJ , Age: 22 , FA: 2025
    Aaron Rodgers, QB6, GB , Age: 37 , FA: 2024
    Odell Beckham Jr., WR31, CLE , Age: 28 , FA: 2024
    Russell Wilson, QB7, SEA , Age: 32 , FA: 2024
    Courtland Sutton, WR32, DEN , Age: 25 , FA: 2022
    Justin Herbert, QB8, LAC , Age: 23 , FA: 2025
    Trey Sermon, RB31, SF , Age: 22 , FA: 2025
    Melvin Gordon, RB32, DEN , Age: 28 , FA: 2022
    Brandin Cooks, WR33, HOU , Age: 27 , FA: 2024
    Antonio Brown, WR34, TB , Age: 33 , FA: 2022
    Laviska Shenault, WR35, JAC , Age: 22 , FA: 2024
    DeVonta Smith, WR36, PHI , Age: 22 , FA: 2026
    Corey Davis, WR37, NYJ , Age: 26 , FA: 2024
    Dallas Goedert, TE7, PHI , Age: 26 , FA: 2022
    Jamaal Williams, RB33, DET , Age: 26 , FA: 2023
    Nyheim Hines, RB34, IND , Age: 24 , FA: 2022
    Jaylen Waddle, WR38, MIA , Age: 22 , FA: 2026
    Ronald Jones II, RB35, TB , Age: 24 , FA: 2022
    Noah Fant, TE8, DEN , Age: 23 , FA: 2024
    Kenny Golladay, WR39, NYG , Age: 27 , FA: 2025
    D.J. Chark, WR40, JAC , Age: 24 , FA: 2022
    A.J. Dillon, RB36, GB , Age: 23 , FA: 2024
    Logan Thomas, TE9, WAS , Age: 30 , FA: 2022
    Ryan Tannehill, QB9, TEN , Age: 33 , FA: 2024
    Jakobi Meyers, WR41, NE , Age: 24 , FA: 2022
    Michael Thomas, WR42, NO , Age: 28 , FA: 2025
    Deebo Samuel, WR43, SF , Age: 25 , FA: 2023
    Michael Pittman Jr., WR44, IND , Age: 23 , FA: 2024
    James Conner, RB37, ARI , Age: 26 , FA: 2022
    Zack Moss, RB38, BUF , Age: 23 , FA: 2024
    Jalen Hurts, QB10, PHI , Age: 23 , FA: 2024
    Sony Michel, RB39, LAR , Age: 26 , FA: 2023
    Darnell Mooney, WR45, CHI , Age: 23 , FA: 2024
    Marquez Callaway, WR46, NO , Age: 23 , FA: 2023
    Curtis Samuel, WR47, WAS , Age: 25 , FA: 2024
    Tyler Higbee, TE10, LAR , Age: 28 , FA: 2024
    Marvin Jones Jr., WR48, JAC , Age: 31 , FA: 2023
    Rondale Moore, WR49, ARI , Age: 21 , FA: 2025
    Jarvis Landry, WR50, CLE , Age: 28 , FA: 2023
    DeVante Parker, WR51, MIA , Age: 28 , FA: 2024
    Tom Brady, QB11, TB , Age: 44 , FA: 2022
    Russell Gage, WR52, ATL , Age: 25 , FA: 2022
    Will Fuller, WR53, MIA , Age: 27 , FA: 2022
    Mike Williams, WR54, LAC , Age: 26 , FA: 2022
    Leonard Fournette, RB40, TB , Age: 26 , FA: 2022
    Devin Singletary, RB41, BUF , Age: 24 , FA: 2023
    Matthew Stafford, QB12, LAR , Age: 33 , FA: 2023
    James White, RB42, NE , Age: 29 , FA: 2022
    Kenyan Drake, RB43, LV , Age: 27 , FA: 2023
    Joe Burrow, QB13, CIN , Age: 23 , FA: 2025
    Robert Tonyan, TE11, GB , Age: 27 , FA: 2022
    Sterling Shepard, WR55, NYG , Age: 28 , FA: 2024
    Trevor Lawrence, QB14, JAC , Age: 21 , FA: 2026
    Tua Tagovailoa, QB15, MIA , Age: 23 , FA: 2025
    Michael Gallup, WR56, DAL , Age: 25 , FA: 2022
    Trey Lance, QB16, SF , Age: 21 , FA: 2026
    Giovani Bernard, RB44, TB , Age: 29 , FA: 2022
    Jonnu Smith, TE12, NE , Age: 26 , FA: 2025
    Elijah Moore, WR57, NYJ , Age: 21 , FA: 2025
    Tony Pollard, RB45, DAL , Age: 24 , FA: 2023
    Mike Gesicki, TE13, MIA , Age: 25 , FA: 2022
    J.D. McKissic, RB46, WAS , Age: 28 , FA: 2022
    Alexander Mattison, RB47, MIN , Age: 23 , FA: 2023
    Tyrell Williams, WR58, DET , Age: 29 , FA: 2023
    Cole Beasley, WR59, BUF , Age: 32 , FA: 2023
    Marquise Brown, WR60, BAL , Age: 24 , FA: 2024
    Mecole Hardman, WR61, KC , Age: 23 , FA: 2023
    Kirk Cousins, QB17, MIN , Age: 33 , FA: 2023
    Justin Fields, QB18, CHI , Age: 22 , FA: 2026 
    Rhamondre Stevenson, RB48, NE , Age: 23 , FA: 2025
    David Johnson, RB49, HOU , Age: 29 , FA: 2022
    Jameis Winston, QB19, NO , Age: 27 , FA: 2022
    Gerald Everett, TE14, SEA , Age: 27 , FA: 2022
    Matt Ryan, QB20, ATL , Age: 36 , FA: 2024
    Ty'Son Williams, RB50, BAL , Age: 25 , FA: 2022
    Phillip Lindsay, RB51, HOU , Age: 27 , FA: 2022
    Malcolm Brown, RB52, MIA , Age: 28 , FA: 2022
    Henry Ruggs III, WR62, LV , Age: 22 , FA: 2025
    Amon-Ra St. Brown, WR63, DET , Age: 21 , FA: 2025
    Nelson Agholor, WR64, NE , Age: 28 , FA: 2023
    Terrace Marshall Jr., WR65, CAR , Age: 21 , FA: 2025
    Derek Carr, QB21, LV , Age: 30 , FA: 2023
    Rashaad Penny, RB53, SEA , Age: 25 , FA: 2022
    Jared Cook, TE15, LAC , Age: 34 , FA: 2022
    Bryan Edwards, WR66, LV , Age: 22 , FA: 2024
    A.J. Green, WR67, ARI , Age: 33 , FA: 2022
    Emmanuel Sanders, WR68, BUF , Age: 34 , FA: 2022
    Hunter Henry, TE16, NE , Age: 26 , FA: 2024
    Joshua Kelley, RB54, LAC , Age: 23 , FA: 2024
    Cole Kmet, TE17, CHI , Age: 22 , FA: 2024
    Carson Wentz, QB22, IND , Age: 28 , FA: 2025
    Ryan Fitzpatrick, QB23, WAS , Age: 38 , FA: 2022
    Baker Mayfield, QB24, CLE , Age: 26 , FA: 2023
    Evan Engram, TE18, NYG , Age: 27 , FA: 2022
    Damien Williams, RB55, CHI , Age: 29 , FA: 2022
    Ben Roethlisberger, QB25, PIT , Age: 39 , FA: 2022
    Anthony Firkser, TE19, TEN , Age: 26 , FA: 2022
    Zach Wilson, QB26, NYJ , Age: 22 , FA: 2026
    Rob Gronkowski, TE20, TB , Age: 32 , FA: 2022
    Blake Jarwin, TE21, DAL , Age: 27 , FA: 2024
    Nico Collins, WR69, HOU , Age: 22 , FA: 2025
    Randall Cobb, WR70, GB, Age: 31 , FA: 2023
    Tre'Quan Smith, WR71, NO , Age: 25 , FA: 2022
    Parris Campbell, WR72, IND , Age: 24 , FA: 2023
    Sam Darnold, QB27, CAR , Age: 24 , FA: 2023
    Sammy Watkins, WR73, BAL , Age: 28 , FA: 2022
    Samaje Perine, RB56, CIN , Age: 25 , FA: 2023
    Chuba Hubbard, RB57, CAR , Age: 22 , FA: 2025
    Boston Scott, RB58, PHI , Age: 26 , FA: 2022
    Tevin Coleman, RB59, NYJ , Age: 28 , FA: 2022
    Carlos Hyde, RB60, JAC , Age: 30 , FA: 2023
    Devontae Booker, RB61, NYG , Age: 28 , FA: 2023
    Kenneth Gainwell, RB62, PHI , Age: 22 , FA: 2025
    Zach Ertz, TE22, PHI , Age: 30 , FA: 2022
    Mac Jones, QB28, NE , Age: 23 , FA: 2026
    Justice Hill, RB63, BAL , Age: 23 , FA: 2023
    Daniel Jones, QB29, NYG , Age: 24 , FA: 2024
    Salvon Ahmed, RB64, MIA , Age: 22 , FA: 2022
    Latavius Murray, RB65, NO , Age: 31 , FA: 2023
    Jalen Reagor, WR74, PHI , Age: 22 , FA: 2025
    Marquez Valdes-Scantling, WR75, GB , Age: 26 , FA: 2022
    Darius Slayton, WR76, NYG , Age: 24 , FA: 2023
    Keelan Cole, WR77, NYJ , Age: 28 , FA: 2022
    Eric Ebron, TE23, PIT , Age: 28 , FA: 2022
    Austin Hooper, TE24, CLE , Age: 26 , FA: 2024
    Gabriel Davis, WR78, BUF, Age: 22 , FA: 2024
    Tyler Conklin, TE25, MIN , Age: 26 , FA: 2022
    Larry Rountree, RB66, LAC , Age: 23 , FA: 2025
    Adam Trautman, TE26, NO , Age: 24 , FA: 2024
    Wayne Gallman, RB67, ATL , Age: 26 , FA: 2022
