1,Jonathan Taylor,IND,RB,14,
2,Christian McCaffrey,CAR,RB,13,
3,Austin Ekeler,LAC,RB,8,
4,Derrick Henry,TEN,RB,6,
5,Justin Jefferson,MIN,WR,7,
6,Cooper Kupp,LAR,WR,7,
7,Najee Harris,PIT,RB,9,
8,Dalvin Cook,MIN,RB,7,
9,Ja'Marr Chase,CIN,WR,10,
10,Joe Mixon,CIN,RB,10,
11,Alvin Kamara,NO,RB,14,
12,Davante Adams,LV,WR,6,
13,D'Andre Swift,DET,RB,6,
14,Stefon Diggs,BUF,WR,7,
15,Aaron Jones,GB,RB,14,
16,Saquon Barkley,NYG,RB,9,
17,Travis Kelce,KC,TE,8,
18,CeeDee Lamb,DAL,WR,9,
19,Nick Chubb,CLE,RB,9,
20,Deebo Samuel,SF,WR,9,
21,Javonte Williams,DEN,RB,9,
22,Josh Allen,BUF,QB,7,
23,Leonard Fournette,TB,RB,11,
24,Tyreek Hill,MIA,WR,11,
25,Michael Pittman ,IND,WR,14,
26,Mike Evans,TB,WR,11,
27,Mark Andrews,BAL,TE,10,
28,Ezekiel Elliott,DAL,RB,9,
29,James Conner,ARI,RB,13,
30,Keenan Allen,LAC,WR,8,
31,AJ Brown,PHI,WR,7,
32,Tee Higgins,CIN,WR,10,
33,Kyle Pitts,ATL,TE,14,
34,Cam Akers,LAR,RB,7,
35,Justin Herbert,LAC,QB,8,
36,Travis Etienne,JAX,RB,11,
37,DJ Moore,CAR,WR,13,
38,Terry McLaurin,WAS,WR,14,
39,J.K. Dobbins,BAL,RB,10,
40,David Montgomery,CHI,RB,14,
41,Patrick Mahomes II,KC,QB,8,
42,Mike Williams,LAC,WR,8,
43,Elijah Mitchell,SF,RB,9,
44,Diontae Johnson,PIT,WR,9,
45,Breece Hall,NYJ,RB,10,
46,George Kittle,SF,TE,9,
47,Joe Burrow,CIN,QB,10,
48,Josh Jacobs,LV,RB,6,
49,Jaylen Waddle,MIA,WR,11,
50,Courtland Sutton,DEN,WR,9,
51,AJ Dillon,GB,RB,14,
52,DK Metcalf,SEA,WR,11,
53,Darren Waller,LV,TE,6,
54,Michael Thomas,NO,WR,14,
55,Lamar Jackson,BAL,QB,10,
56,Clyde Edwards-Helaire,KC,RB,8,
57,Allen Robinson II,LAR,WR,7,
58,Chris Godwin,TB,WR,11,
59,Brandin Cooks,HOU,WR,6,
60,Jalen Hurts,PHI,QB,7,
61,Damien Harris,NE,RB,10,
62,Miles Sanders,PHI,RB,7,
63,Jerry Jeudy,DEN,WR,9,
64,Kyler Murray,ARI,QB,13,
65,Adam Thielen,MIN,WR,7,
66,Rashaad Penny,SEA,RB,11,
67,Gabriel Davis,BUF,WR,7,
68,Dalton Schultz,DAL,TE,9,
69,Darnell Mooney,CHI,WR,14,
70,Marquise Brown,ARI,WR,13,
71,Kareem Hunt,CLE,RB,9,
72,Hunter Renfrow,LV,WR,6,
73,Tony Pollard,DAL,RB,9,
74,Devin Singletary,BUF,RB,7,
75,Chase Edmonds,MIA,RB,11,
76,Amon-Ra St. Brown,DET,WR,6,
77,Russell Wilson,DEN,QB,9,
78,JuJu Smith-Schuster,KC,WR,8,
79,Rhamondre Stevenson,NE,RB,10,
80,Dallas Goedert,PHI,TE,7,
81,Dameon Pierce,HOU,RB,6,
82,Aaron Rodgers,GB,QB,14,
83,Rashod Bateman,BAL,WR,10,
84,Amari Cooper,CLE,WR,9,
85,Dak Prescott,DAL,QB,9,
86,DeVonta Smith,PHI,WR,7,
87,Elijah Moore,NYJ,WR,10,
88,Melvin Gordon III,DEN,RB,9,
89,Tom Brady,TB,QB,11,
90,Matthew Stafford,LAR,QB,7,
91,Brandon Aiyuk,SF,WR,9,
92,Allen Lazard,GB,WR,14,
93,Cordarrelle Patterson,ATL,WR,14,
94,DeAndre Hopkins,ARI,WR,13,
95,Zach Ertz,ARI,TE,13,
96,Trey Lance,SF,QB,9,
97,James Cook,BUF,RB,7,
98,Christian Kirk,JAX,WR,11,
99,Nyheim Hines,IND,RB,14,
100,Kenneth Walker III,SEA,RB,11,
101,Derek Carr,LV,QB,6,
102,Robert Woods,TEN,WR,6,
103,Pat Freiermuth,PIT,TE,9,
104,Drake London,ATL,WR,14,
105,Kadarius Toney,NYG,WR,9,
106,James Robinson,JAX,RB,11,
107,Raheem Mostert,MIA,RB,11,
108,Kirk Cousins,MIN,QB,7,
109,Cole Kmet,CHI,TE,14,
110,Kenneth Gainwell,PHI,RB,7,
111,Tyler Allgeier,ATL,RB,14,
112,Chris Olave,NO,WR,14,
113,Tyler Lockett,SEA,WR,11,
114,J.D. McKissic,WAS,RB,14,
115,Mike Gesicki,MIA,TE,11,
116,Brian Robinson ,WAS,RB,14,
117,Tua Tagovailoa,MIA,QB,11,
118,Michael Carter,NYJ,RB,10,
119,Skyy Moore,KC,WR,8,
120,Michael Gallup,DAL,WR,9,
121,Darrell Henderson ,LAR,RB,7,
122,Dawson Knox,BUF,TE,7,
123,Tyler Boyd,CIN,WR,10,
124,Julio Jones,TB,WR,11,
125,Isiah Pacheco,KC,RB,8,
126,Jamaal Williams,DET,RB,6,
127,Buffalo Bills Defense,BUF,DEF,7,
128,George Pickens,PIT,WR,9,
129,Rachaad White,TB,RB,11,
130,Marquez Valdes-Scantling,KC,WR,8,
