1,,Christian McCaffrey (CAR)      ,RB1,13,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,1
2,,Jonathan Taylor (IND)    ,RB2,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-1
3,,Austin Ekeler (LAC)    ,RB3,8,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,0
4,,Dalvin Cook (MIN)      ,RB4,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,3
5,,Justin Jefferson (MIN)     ,WR1,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,1
6,,Cooper Kupp (LAR)     ,WR2,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-2
7,,Najee Harris (PIT)    ,RB5,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,1
8,,Derrick Henry (TEN)     ,RB6,6,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-3
9,,D'Andre Swift (DET)     ,RB7,6,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,5
10,,Travis Kelce (KC)    ,TE1,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,5
11,,Joe Mixon (CIN)     ,RB8,10,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-1
12,,Ja'Marr Chase (CIN)     ,WR3,10,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-3
13,,Stefon Diggs (BUF)    ,WR4,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-1
14,,Alvin Kamara (NO)     ,RB9,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-1
15,,Davante Adams (LV)      ,WR5,6,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-4
16,,Saquon Barkley (NYG)     ,RB10,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,5
17,,Aaron Jones (GB)      ,RB11,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,2
18,,CeeDee Lamb (DAL)     ,WR6,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,2
19,,Mark Andrews (BAL)      ,TE2,10,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,4
20,,Leonard Fournette (TB)      ,RB12,11,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,4
21,,Tyreek Hill (MIA)     ,WR7,11,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-3
22,,Mike Evans (TB)     ,WR8,11,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,4
23,,Javonte Williams (DEN)     ,RB13,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,2
24,,Keenan Allen (LAC)    ,WR9,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,3
25,,Michael Pittman  (IND)     ,WR10,14,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,10
26,,Deebo Samuel (SF)      ,WR11,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-10
27,,Nick Chubb (CLE)     ,RB14,9,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-10
28,,AJ Brown (PHI)      ,WR12,7,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,3
29,,Tee Higgins (CIN)      ,WR13,10,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,4
30,,Kyle Pitts (ATL)      ,TE3,14,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,2
31,,James Conner (ARI)     ,RB15,13,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-3
32,,DJ Moore (CAR)      ,WR14,13,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,10
33,,Ezekiel Elliott (DAL)      ,RB16,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-3
34,,Travis Etienne  (JAC)      ,RB17,11,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,5
35,,Josh Allen (BUF)    ,QB1,7,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-13
36,,Diontae Johnson (PIT)      ,WR15,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,5
37,,David Montgomery (CHI)      ,RB18,14,5 out of 5 stars 5 out of 5 stars 5 out of 5 stars 5 out of 5 stars 5 out of 5 stars,-1
38,,Jaylen Waddle (MIA)     ,WR16,11,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,7
39,,Courtland Sutton (DEN)      ,WR17,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,17
40,,Mike Williams (LAC)      ,WR18,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,7
41,,Terry McLaurin (WAS)     ,WR19,14,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-1
42,,Breece Hall (NYJ)    ,RB19,10,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,9
43,,Justin Herbert (LAC)      ,QB2,8,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,-9
44,,Brandin Cooks (HOU)      ,WR20,6,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,9
45,,Allen Robinson II (LAR)     ,WR21,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,17
46,,Patrick Mahomes II (KC)     ,QB3,8,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-17
47,,Cam Akers (LAR)      ,RB20,7,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-9
48,,George Kittle (SF)    ,TE4,9,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-11
49,,AJ Dillon (GB)      ,RB21,14,3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars 3 out of 5 stars,18
50,,Lamar Jackson (BAL)    ,QB4,10,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-7
51,,DK Metcalf (SEA)      ,WR22,11,4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars 4 out of 5 stars,-5
52,,Elijah Mitchell (SF)      ,RB22,9,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-3
53,,Darren Waller (LV)    ,TE5,6,2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars 2 out of 5 stars,-9
