1,"Jonathan Taylor, Colts",RB
2,"Derrick Henry, Titans",RB
3,"Najee Harris, Steelers",RB
4,"Dalvin Cook, Vikings",RB
5,"Cooper Kupp, Rams",WR
6,"Austin Ekeler, Chargers",RB
7,"Nick Chubb, Browns",RB
8,"Christian McCaffrey, Panthers",RB
9,"Justin Jefferson, Vikings",WR
10,"Ja'Marr Chase, Bengals",WR
11,"Alvin Kamara, Saints",RB
12,"Joe Mixon, Bengals",RB
13,"Travis Kelce, Chiefs",TE
14,"Mark Andrews, Ravens",TE
15,"Mike Evans, Buccaneers",WR
16,"CeeDee Lamb, Cowboys",WR
17,"Stefon Diggs, Bills",WR
18,"Davante Adams, Raiders",WR
19,"Javonte Williams, Broncos",RB
20,"D'Andre Swift, Lions",RB
21,"J.K. Dobbins, Ravens",RB
22,"Mike Williams, Chargers",WR
23,"Tyreek Hill, Dolphins",WR
24,"Deebo Samuel, 49ers",WR
25,"Ezekiel Elliott, Cowboys",RB
26,"Saquon Barkley, Giants",RB
27,"Josh Allen, Bills",QB
28,"Cam Akers, Rams",RB
29,"Leonard Fournette, Buccaneers",RB
30,"Kyle Pitts, Falcons",TE
31,"Elijah Mitchell, 49ers",RB
32,"James Conner, Cardinals",RB
33,"AJ Brown, Eagles",WR
34,"DK Metcalf, Seahawks",WR
35,"Keenan Allen, Chargers",WR
36,"George Kittle, 49ers",TE
37,"Aaron Jones, Packers",RB
38,"Terry McLaurin, Commanders",WR
39,"Tee Higgins, Bengals",WR
40,"Diontae Johnson, Steelers",WR
41,"Damien Harris, Patriots",RB
42,"Travis Etienne , Jaguars",RB
43,"Clyde Edwards-Helaire, Chiefs",RB
44,"Justin Herbert, Chargers",QB
45,"Darren Waller, Raiders",TE
46,"Patrick Mahomes II, Chiefs",QB
47,"DJ Moore, Panthers",WR
48,"Michael Pittman , Colts",WR
49,"Josh Jacobs, Raiders",RB
50,"David Montgomery, Bears",RB
51,"Antonio Gibson, Commanders",RB
52,"Darnell Mooney, Bears",WR
53,"Marquise Brown, Cardinals",WR
54,"Courtland Sutton, Broncos",WR
55,"Breece Hall, Jets",RB
56,"Michael Thomas, Saints",WR
57,"Brandin Cooks, Texans",WR
58,"Jaylen Waddle, Dolphins",WR
59,"Kyler Murray, Cardinals",QB
60,"Jerry Jeudy, Broncos",WR
61,"DeVonta Smith, Eagles",WR
