1,Christian McCaffrey,RB1,SF
2,Justin Jefferson,WR1,MIN
3,Austin Ekeler,RB2,LAC
4,Tyreek Hill,WR2,MIA
5,Ja'Marr Chase,WR3,CIN
6,Bijan Robinson,RB3,ATL
7,Tony Pollard,RB4,DAL
8,Nick Chubb,RB5,CLE
9,Stefon Diggs,WR4,BUF
10,Derrick Henry,RB6,TEN
11,Saquon Barkley,RB7,NYG
12,Travis Kelce,TE1,KC
13,A.J. Brown,WR5,PHI
14,Garrett Wilson,WR6,NYJ
15,Josh Jacobs,RB8,LV
16,Josh Allen,QB1,BUF
17,CeeDee Lamb,WR7,DAL
18,Amon-Ra St. Brown,WR8,DET
19,Davante Adams,WR9,LV
20,Jalen Hurts,QB2,PHI
21,Patrick Mahomes,QB3,KC
22,Chris Olave,WR10,NO
23,Cooper Kupp,WR11,LAR
24,Tee Higgins,WR12,CIN
25,Rhamondre Stevenson,RB9,NE
26,Jaylen Waddle,WR13,MIA
27,Joe Burrow,QB4,CIN
28,DK Metcalf,WR14,SEA
29,Najee Harris,RB10,PIT
30,Jahmyr Gibbs,RB11,DET
31,DeVonta Smith,WR15,PHI
32,Breece Hall,RB12,NYJ
33,Kenneth Walker III,RB13,SEA
34,Calvin Ridley,WR16,JAC
35,Alexander Mattison,RB14,MIN
36,Joe Mixon,RB15,CIN
37,Lamar Jackson,QB5,BAL
38,Aaron Jones,RB16,GB
39,Mark Andrews,TE2,BAL
40,Travis Etienne Jr.,RB17,JAC
41,Dameon Pierce,RB18,HOU
42,Christian Watson,WR17,GB
43,Deebo Samuel,WR18,SF
44,Amari Cooper,WR19,CLE
45,Justin Fields,QB6,CHI
46,DJ Moore,WR20,CHI
47,Miles Sanders,RB19,CAR
48,Justin Herbert,QB7,LAC
49,Terry McLaurin,WR21,WAS
50,Drake London,WR22,ATL
51,Isiah Pacheco,RB20,KC
52,Keenan Allen,WR23,LAC
53,J.K. Dobbins,RB21,BAL
54,James Conner,RB22,ARI
55,Mike Williams,WR24,LAC
56,Trevor Lawrence,QB8,JAC
57,David Montgomery,RB23,DET
58,DeAndre Hopkins,WR25,TEN
58,Chris Godwin,WR25,TB
60,Brandon Aiyuk,WR27,SF
61,Cam Akers,RB24,LAR
62,James Cook,RB25,BUF
63,Tyler Lockett,WR28,SEA
64,Deshaun Watson,QB9,CLE
64,Javonte Williams,RB26,DEN
66,Michael Pittman Jr.,WR29,IND
67,Mike Evans,WR30,TB
68,Christian Kirk,WR31,JAC
