1,Christian,"McCaffrey,",,49ers,RB
2,Derrick,"Henry,",,Titans,RB
3,Austin,"Ekeler,",,Chargers,RB
4,Justin,"Jefferson,",,Vikings,WR
5,Saquon,"Barkley,",,Giants,RB
6,Nick,"Chubb,",,Browns,RB
7,Ja'Marr,"Chase,",,Bengals,WR
8,Tyreek,"Hill,",,Dolphins,WR
9,Travis,"Kelce,",,Chiefs,TE
10,Tony,"Pollard,",,Cowboys,RB
11,Bijan,"Robinson,",,Falcons,RB
12,Davante,"Adams,",,Raiders,WR
13,Josh,"Jacobs,",,Raiders,RB
14,Cooper,"Kupp,",,Rams,WR
15,Kenneth,"Walker III,",,Seahawks,RB
16,Travis,Etienne,"Jr.,",Jaguars,RB
17,Rhamondre,"Stevenson,",,Patriots,RB
18,AJ,"Brown,",,Eagles,WR
19,CeeDee,"Lamb,",,Cowboys,WR
20,Stefon,"Diggs,",,Bills,WR
21,Joe,"Mixon,",,Bengals,RB
22,Amon-Ra,St.,"Brown,",Lions,WR
23,Garrett,"Wilson,",,Jets,WR
24,Patrick,"Mahomes,",,Chiefs,QB
25,Najee,"Harris,",,Steelers,RB
26,Aaron,"Jones,",,Packers,RB
27,Jaylen,"Waddle,",,Dolphins,WR
28,Chris,"Olave,",,Saints,WR
29,Jalen,"Hurts,",,Eagles,QB
30,Josh,"Allen,",,Bills,QB
31,Amari,"Cooper,",,Browns,WR
32,Deebo,"Samuel,",,49ers,WR
33,JK,"Dobbins,",,Ravens,RB
34,Mark,"Andrews,",,Ravens,TE
35,DeAndre,"Hopkins,",,Titans,WR
36,DeVonta,"Smith,",,Eagles,WR
37,Breece,"Hall,",,Jets,RB
38,Dameon,"Pierce,",,Texans,RB
39,Alexander,"Mattison,",,Vikings,RB
40,Joe,"Burrow,",,Bengals,QB
41,Justin,"Herbert,",,Chargers,QB
42,Tee,"Higgins,",,Bengals,WR
43,Terry,"McLaurin,",,Commanders,WR
44,Calvin,"Ridley,",,Jaguars,WR
45,Keenan,"Allen,",,Chargers,WR
46,DK,"Metcalf,",,Seahawks,WR
47,Justin,"Fields,",,Bears,QB
