FantasyPros.com ,"this is from sports illustrated.com, not fantasy pros. Weird",,,,
 NFL Rankings ,,,,,
,,,,,
,,,,,
Rank,Player Name,Team,Position,ECR,vs. ECR
1,Alvin Kamara,NO,RB,2,1
2,Ezekiel Elliott,DAL,RB,4,2
3,Saquon Barkley,NYG,RB,1,-2
4,Christian McCaffrey,CAR,RB,3,-1
5,Odell Beckham Jr.,CLE,WR,12,7
6,Aaron Jones,GB,RB,23,17
7,Nick Chubb,CLE,RB,6,-1
8,James Conner,PIT,RB,8,0
9,David Johnson,ARI,RB,5,-4
10,DeAndre Hopkins,HOU,WR,7,-3
11,Julio Jones,ATL,WR,10,-1
12,Todd Gurley,LAR,RB,17,5
13,Davante Adams,GB,WR,9,-4
14,JuJu Smith-Schuster,PIT,WR,18,4
15,Travis Kelce,KC,TE,14,-1
16,Le'Veon Bell,NYJ,RB,11,-5
17,Michael Thomas,NO,WR,19,2
18,Chris Carson,SEA,RB,30,12
19,Tyreek Hill,KC,WR,15,-4
20,Mike Evans,TB,WR,20,0
21,Antonio Brown,OAK,WR,22,1
22,Adam Thielen,MIN,WR,27,5
23,Dalvin Cook,MIN,RB,16,-7
24,Kerryon Johnson,DET,RB,24,0
25,Joe Mixon,CIN,RB,13,-12
26,George Kittle,SF,TE,33,7
27,T.Y. Hilton,IND,WR,35,8
28,Julian Edelman,NE,WR,43,15
29,Kenny Golladay,DET,WR,48,19
30,Allen Robinson,CHI,WR,62,32
31,Damien Williams,KC,RB,25,-6
32,Mark Ingram,BAL,RB,45,13
33,Keenan Allen,LAC,WR,21,-12
34,Sony Michel,NE,RB,41,7
35,Marlon Mack,IND,RB,26,-9
36,Devonta Freeman,ATL,RB,31,-5
37,Robert Woods,LAR,WR,40,3
38,Zach Ertz,PHI,TE,38,0
39,Stefon Diggs,MIN,WR,36,-3
40,Brandin Cooks,LAR,WR,34,-6
41,Robby Anderson,NYJ,WR,63,22
42,Amari Cooper,DAL,WR,32,-10
43,David Montgomery,CHI,RB,46,3
44,Leonard Fournette,JAC,RB,28,-16
45,Derrick Henry,TEN,RB,29,-16
46,Alshon Jeffery,PHI,WR,59,13
47,Tyler Lockett,SEA,WR,47,0
48,Phillip Lindsay,DEN,RB,52,4
49,Calvin Ridley,ATL,WR,58,9
50,Mike Williams,LAC,WR,54,4
51,Miles Sanders,PHI,RB,69,18
52,Tevin Coleman,SF,RB,53,1
53,Cooper Kupp,LAR,WR,51,-2
54,Josh Jacobs,OAK,RB,42,-12
55,Melvin Gordon,LAC,RB,39,-16
56,Chris Godwin,TB,WR,44,-12
57,Will Fuller,HOU,WR,80,23
58,Derrius Guice,WAS,RB,75,17
59,Lamar Miller,HOU,RB,,
60,Tyler Boyd,CIN,WR,56,-4
61,Josh Gordon,NE,WR,68,7
62,Baker Mayfield,CLE,QB,67,5
63,Patrick Mahomes,KC,QB,37,-26
64,Aaron Rodgers,GB,QB,55,-9
65,Deshaun Watson,HOU,QB,49,-16
66,Carson Wentz,PHI,QB,83,17
67,Jarvis Landry,CLE,WR,77,10
68,Latavius Murray,NO,RB,65,-3
69,James White,NE,RB,64,-5
70,Emmanuel Sanders,DEN,WR,116,46
71,O.J. Howard,TB,TE,50,-21
72,Hunter Henry,LAC,TE,61,-11
73,Courtland Sutton,DEN,WR,102,29
74,Austin Ekeler,LAC,RB,76,2
75,Curtis Samuel,CAR,WR,81,6
76,Sammy Watkins,KC,WR,79,3
77,D.J. Moore,CAR,WR,57,-20
78,Christian Kirk,ARI,WR,85,7
79,Larry Fitzgerald,ARI,WR,104,25
80,Marvin Jones,DET,WR,84,4
81,Matt Ryan,ATL,QB,70,-11
82,Cam Newton,CAR,QB,82,0
83,Drew Brees,NO,QB,91,8
84,Russell Wilson,SEA,QB,88,4
85,Kyler Murray,ARI,QB,101,16
86,Evan Engram,NYG,TE,60,-26
